Customer_Id,Product_Id,Transaction Type,Category,Amount (In Dollars),Purchase_Date,Payment Mode,Merchant Name,Location,Transaction Status,Tax Amount,Discount Applied,Transaction Approval Status,Customer Segment
4001,241,Investment Contribution,Gucci,4528487,07/04/2023,Bank Wire,Dawson Group,"Ellisburgh, Turks and Caicos Islands",Pending,452848.7,0,Pending,Corporate
4002,289,Fabric Procurement,Home Loan Repayment,6350383,07/20/2024,Amex Platinum,Dawson-Davis,"Kristinaside, Marshall Islands",Pending,635038.3,317519.15,Pending,Individual
4003,269,Research & Development,Car Loan,278760,11/08/2023,Credit Card,Boyd-Cross,"Port James, Lebanon",Approved,27876,13938,Approved,Individual
4004,271,Travel Booking,Sustainable Fabric Innovations,8564234,02/22/2025,Business Loan,"Chapman, Mayer and Campbell","Boyerstad, Sao Tome and Principe",In Progress,856423.4,0,Pending,Individual
4005,210,BNPL Purchase,New Flagship Stores,2144510,08/28/2024,Auto Debit,Taylor Ltd,"New Williamshire, Serbia",Pending,214451,0,Pending,Individual
4006,203,Expansion Loan,New Flagship Store,8818215,06/17/2023,Amex Platinum,Carter Inc,"North Ricky, San Marino",Processing,881821.5,0,Pending,Corporate
4007,297,IRA Contribution,AI-Powered E-commerce Platform,5972687,06/10/2024,Bank Wire,"Bryant, Atkins and Combs","Port Samantha, Palau",Pending,597268.7,298634.35,Pending,Corporate
4008,238,Cloud Services Fees,Equity,2411408,03/26/2024,Bank Wire,Mendoza Group,"Davisville, Tuvalu",Completed,241140.8,120570.4,Approved,Enterprise
4009,234,Marketing Promotions,Gucci,9308607,04/24/2023,Chase Sapphire Travel Card,Jones-Simmons,"Roberttown, Kenya",Approved,930860.7,465430.35,Approved,Individual
4010,264,Marketing Promotions,Costco,3561003,02/11/2024,Corporate Card,Graves LLC,"Port Erneststad, Guyana",Completed,356100.3,0,Approved,Small Business
4011,206,Supplier Payments,Branding and Social Media Ads,5902601,12/15/2023,Net Banking,Spencer and Sons,"Simonfort, Botswana",In Progress,590260.1,295130.05,Pending,Small Business
4012,298,Investment Contribution,Branding and Social Media Ads,4147052,08/21/2023,Corporate Card,Johnson and Sons,"Port Andrew, Afghanistan",Completed,414705.2,0,Approved,Corporate
4013,286,Mortgage Payment,New Flagship Stores,6025139,06/30/2023,Credit Card,Gibbs-Cannon,"Lake Summer, Saint Helena",Processing,602513.9,0,Pending,Corporate
4014,220,Marketing Promotions,Car Loan,7129786,01/29/2025,Auto Debit,Ramos and Sons,"Paulaside, Estonia",Pending,712978.6,0,Pending,Individual
4015,293,Loan EMI,Vanguard,9558150,09/18/2024,Credit Card,Donaldson Inc,"Wilsonmouth, Bosnia and Herzegovina",In Progress,955815,0,Pending,Individual
4016,241,Mortgage Payment,Home Loan Repayment,8320431,06/29/2024,Credit Card,"Reynolds, Welch and Vang","Bentleystad, Namibia",Processing,832043.1,0,Pending,Small Business
4017,268,Marketing Promotions,Vanguard,2940888,12/12/2023,Auto Debit,Taylor-Franklin,"Barbarachester, Saint Vincent and the Grenadines",Completed,294088.8,147044.4,Approved,Individual
4018,221,Investment Contribution,Car Loan,7191649,06/24/2024,Business Loan,Mitchell-Munoz,"Grahambury, Niue",Completed,719164.9,0,Approved,Enterprise
4019,275,Technology Investment,International Business Trip,3623923,03/13/2024,ACH Debit,Anderson-Rodriguez,"South Angelaburgh, Equatorial Guinea",Processing,362392.3,181196.15,Pending,Individual
4020,273,BNPL Purchase,AI-Powered Personalization,2809147,11/18/2023,Corporate Card,Chen-Stewart,"Bentonside, Armenia",Completed,280914.7,0,Approved,Corporate
4021,226,Technology Investment,Italian Silk & Cashmere,8482193,09/25/2024,Auto Debit,Palmer-Washington,"North David, Nauru",Pending,848219.3,0,Pending,Small Business
4022,282,Mortgage Payment,Gucci,4056880,10/27/2024,ACH Debit,"Hines, Gibbs and Hunter","Michaelfurt, Liberia",In Progress,405688,202844,Pending,Individual
4023,267,Fabric Procurement,Sustainable Fabric Innovations,6705216,01/27/2025,Affirm,Gonzalez-Jones,"East Deborah, Bhutan",Pending,670521.6,335260.8,Pending,Enterprise
